date,rate,Ô¤²â¼Û¸ñ,,,
2021-05-06,0.003968254,4.309084197,,,
2021-05-07,0.003968254,4.242907779,,,
2021-05-10,0.011904762,4.282295907,,,
2021-05-11,0.003968254,4.250069934,,,
2021-05-12,0.003968254,4.144391412,,,
2021-05-13,0.003968254,4.155287705,,,
2021-05-14,0.003968254,4.098328679,,,
2021-05-17,0.011904762,4.225634298,,,
2021-05-18,0.003968254,4.194589601,,,
2021-05-19,0.003968254,4.25725891,,,
2021-05-20,0.003968254,4.16968507,,,
2021-05-21,0.003968254,4.205986024,,,
2021-05-24,0.011904762,4.223613053,,,
2021-05-25,0.003968254,4.335742548,,,
2021-05-26,0.003968254,4.167814666,,,
2021-05-27,0.003968254,4.184822927,,,
2021-05-28,0.003968254,4.178150122,,,
2021-05-31,0.011904762,4.241280176,,,
2021-06-01,0.003968254,4.184634478,,,
2021-06-02,0.003968254,4.139179988,,,
2021-06-03,0.003968254,4.106887519,,,
2021-06-04,0.003968254,4.187208588,,,
2021-06-07,0.011904762,4.404889503,,,
2021-06-08,0.003968254,4.476436823,,,
2021-06-09,0.003968254,4.545125789,,,
2021-06-10,0.003968254,4.460253128,,,
2021-06-11,0.003968254,4.485884839,,,
2021-06-14,0.011904762,4.547306638,,,
2021-06-15,0.003968254,4.593128127,,,
2021-06-16,0.003968254,4.547647968,,,
2021-06-17,0.003968254,4.491101792,,,
2021-06-18,0.003968254,4.508458629,,,
2021-06-21,0.011904762,4.6334695,,,
2021-06-22,0.003968254,4.566120904,,,
2021-06-23,0.003968254,4.559490231,,,
2021-06-24,0.003968254,4.519362887,,,
2021-06-25,0.003968254,4.491566484,,,
2021-06-28,0.011904762,4.471079148,,,
2021-06-29,0.003968254,4.434766801,,,
2021-06-30,0.003968254,4.438395374,,,
2021-07-01,0.003968254,4.379122564,,,
2021-07-02,0.003968254,4.322607543,,,
2021-07-05,0.011904762,4.468673802,,,
2021-07-06,0.003968254,4.634498061,,,
2021-07-07,0.003968254,4.672398854,,,
2021-07-08,0.003968254,4.720048706,,,
2021-07-09,0.003968254,4.805333557,,,
2021-07-12,0.011904762,5.035316442,,,
2021-07-13,0.003968254,5.057343728,,,
2021-07-14,0.003968254,5.067267641,,,
2021-07-15,0.003968254,5.007073687,,,
2021-07-16,0.003968254,4.912873815,,,
2021-07-19,0.011904762,5.090131059,,,
2021-07-20,0.003968254,5.156750081,,,
2021-07-21,0.003968254,5.052816149,,,
2021-07-22,0.003968254,5.037387856,,,
2021-07-23,0.003968254,4.969900917,,,
2021-07-26,0.011904762,5.025730044,,,
2021-07-27,0.003968254,4.952786309,,,
2021-07-28,0.003968254,5.083930726,,,
2021-07-29,0.003968254,5.02784201,,,
2021-07-30,0.003968254,5.039652886,,,
2021-08-02,0.011904762,5.140951296,,,
2021-08-03,0.003968254,5.166406219,,,
2021-08-04,0.003968254,5.216289573,,,
2021-08-05,0.003968254,5.263620972,,,
2021-08-06,0.003968254,5.278041255,,,
2021-08-09,0.011904762,5.329189171,,,
2021-08-10,0.003968254,5.504736928,,,
2021-08-11,0.003968254,5.54670119,,,
2021-08-12,0.003968254,5.514487453,,,
2021-08-13,0.003968254,5.552057177,,,
2021-08-16,0.011904762,5.436025394,,,
2021-08-17,0.003968254,5.479446018,,,
2021-08-18,0.003968254,5.375242869,,,
2021-08-19,0.003968254,5.396650643,,,
2021-08-20,0.003968254,5.508440373,,,
2021-08-23,0.011904762,5.604869097,,,
2021-08-24,0.003968254,5.535555088,,,
2021-08-25,0.003968254,5.598812385,,,
2021-08-26,0.003968254,5.4955543,,,
2021-08-27,0.003968254,5.549621789,,,
2021-08-30,0.011904762,5.456759304,,,
2021-08-31,0.003968254,5.540051929,,,
2021-09-01,0.003968254,5.437603532,,,
2021-09-02,0.003968254,5.360277158,,,
2021-09-03,0.003968254,5.351497576,,,
2021-09-06,0.011904762,5.52171542,,,
2021-09-07,0.003968254,5.538766389,,,
2021-09-08,0.003968254,5.541345496,,,
2021-09-09,0.003968254,5.634857191,,,
2021-09-10,0.003968254,5.520802145,,,
2021-09-13,0.011904762,5.55580642,,,
2021-09-14,0.003968254,5.512199683,,,
2021-09-15,0.003968254,5.545659018,,,
2021-09-16,0.003968254,5.464437177,,,
2021-09-17,0.003968254,5.51726132,,,
2021-09-20,0.011904762,5.421543977,,,
2021-09-21,0.003968254,5.424231204,,,
2021-09-22,0.003968254,5.470301566,,,
2021-09-23,0.003968254,5.575865458,,,
2021-09-24,0.003968254,5.528041139,,,
2021-09-27,0.011904762,5.614467702,,,
2021-09-28,0.003968254,5.55333371,,,
2021-09-29,0.003968254,5.400956546,,,
2021-09-30,0.003968254,5.413366047,,,
2021-10-01,0.003968254,5.451926737,,,
2021-10-04,0.011904762,5.608275148,,,
2021-10-05,0.003968254,5.728621785,,,
2021-10-06,0.003968254,5.78585933,,,
2021-10-07,0.003968254,5.820873328,,,
2021-10-08,0.003968254,5.894216753,,,
2021-10-11,0.011904762,5.950169256,,,
2021-10-12,0.003968254,6.035052761,,,
2021-10-13,0.003968254,6.014720708,,,
2021-10-14,0.003968254,5.928858206,,,
2021-10-15,0.003968254,5.915059236,,,
2021-10-18,0.011904762,5.904300019,,,
2021-10-19,0.003968254,5.767850449,,,
2021-10-20,0.003968254,5.780787752,,,
2021-10-21,0.003968254,5.865524469,,,
2021-10-22,0.003968254,5.775865221,,,
2021-10-25,0.011904762,5.717507227,,,
2021-10-26,0.003968254,5.699253362,,,
2021-10-27,0.003968254,5.642303865,,,
2021-10-28,0.003968254,5.687520415,,,
2021-10-29,0.003968254,5.527085357,,,
2021-11-01,0.011904762,5.635729559,,,
2021-11-02,0.003968254,5.620916911,,,
2021-11-03,0.003968254,5.506591073,,,
2021-11-04,0.003968254,5.56379246,,,
2021-11-05,0.003968254,5.456708528,,,
2021-11-08,0.011904762,5.596137642,,,
2021-11-09,0.003968254,5.650939376,,,
2021-11-10,0.003968254,5.565882923,,,
2021-11-11,0.003968254,5.560804483,,,
2021-11-12,0.003968254,5.504282726,,,
2021-11-15,0.011904762,5.51940845,,,
2021-11-16,0.003968254,5.684472254,,,
2021-11-17,0.003968254,5.725645818,,,
2021-11-18,0.003968254,5.64838754,,,
2021-11-19,0.003968254,5.59898789,,,
2021-11-22,0.011904762,5.548315767,,,
2021-11-23,0.003968254,5.643763705,,,
2021-11-24,0.003968254,5.680229007,,,
2021-11-25,0.003968254,5.702247886,,,
2021-11-26,0.003968254,5.629585323,,,
2021-11-29,0.011904762,5.799134366,,,
2021-11-30,0.003968254,5.789396748,,,
2021-12-01,0.003968254,5.823648788,,,
2021-12-02,0.003968254,5.873804624,,,
2021-12-03,0.003968254,5.879257739,,,
2021-12-06,0.011904762,6.03049123,,,
2021-12-07,0.003968254,6.123163825,,,
2021-12-08,0.003968254,6.08891658,,,
2021-12-09,0.003968254,6.079456329,,,
2021-12-10,0.003968254,6.102713653,,,
2021-12-13,0.011904762,6.411966814,,,
2021-12-14,0.003968254,6.441077571,,,
2021-12-15,0.003968254,6.277629077,,,
2021-12-16,0.003968254,6.249890784,,,
2021-12-17,0.003968254,6.206376599,,,
2021-12-20,0.011904762,6.086587533,,,
2021-12-21,0.003968254,6.054521468,,,
2021-12-22,0.003968254,6.030000191,,,
2021-12-23,0.003968254,5.973185916,,,
2021-12-24,0.003968254,6.065816086,,,
2021-12-27,0.011904762,6.068403052,,,
2021-12-28,0.003968254,6.094007362,,,
2021-12-29,0.003968254,6.126993071,,,
2021-12-30,0.003968254,6.147221911,,,
2021-12-31,0.003968254,6.085262991,,,
2022-01-03,0.011904762,6.316377444,,,
2022-01-04,0.003968254,6.324703974,,,
2022-01-05,0.003968254,6.234421144,,,
2022-01-06,0.003968254,6.014273998,,,
2022-01-07,0.003968254,5.871849661,,,
2022-01-10,0.011904762,5.786992602,,,
2022-01-11,0.003968254,5.775945332,,,
2022-01-12,0.003968254,5.805923878,,,
2022-01-13,0.003968254,5.815016375,,,
2022-01-14,0.003968254,5.76468808,,,
2022-01-17,0.011904762,5.88699691,,,
2022-01-18,0.003968254,5.834770031,,,
2022-01-19,0.003968254,5.864389673,,,
2022-01-20,0.003968254,5.930229071,,,
